vid,formula,reduced_formula,seed_jid,seed_delta_n,n_mean,n_std,n_ci_lo,n_ci_hi,n_ci_half,eg_mean,eg_std,eg_ci_lo,eg_ci_hi,eg_ci_half,score,passes_gate
VIRT-00041,K1 V3 O8,KV3O8,JVASP-48321,1.7815871816699476,2.633414347966512,0.08960258183783149,2.3227553479665124,2.944073347966512,0.310659,1.4930127461751301,0.1621501739844106,0.46010374617513006,2.52592174617513,1.032909,-0.4339143898119342,False
VIRT-00001,Rb6 V2 O8,Rb3VO4,JVASP-42181,0.8195691849464319,1.7910075982411702,0.0892009032564355,1.4803485982411702,2.10166659824117,0.310659,3.5480189323425293,0.40951842340917344,2.515109932342529,4.580927932342529,1.032909,-0.43688136136944306,False
VIRT-00000,Li6 V2 O8,Li3VO4,JVASP-42181,0.8195691849464319,1.8492496013641357,0.10034746306369138,1.5385906013641357,2.159908601364136,0.310659,3.416097640991211,0.4639765502209073,2.383188640991211,4.449006640991211,1.032909,-0.45085452700903816,False
VIRT-00040,Na1 V3 O8,NaV3O8,JVASP-48321,1.7815871816699476,2.574474891026815,0.12079810351011762,2.263815891026815,2.8851338910268147,0.310659,1.5281619628270466,0.17748754946061238,0.49525296282704656,2.5610709628270465,1.032909,-0.4784891084556614,False
VIRT-00037,Tl2 Cu2 Sn1 S4,Tl2Cu2SnS4,JVASP-110967,1.5710892701609915,2.947124640146891,0.11868746780788071,2.6364656401468913,3.257783640146891,0.310659,0.6668316523234049,0.20387709241105834,-0.36607734767659517,1.6997406523234049,1.032909,-0.48623314376672433,False
VIRT-00056,Nb4 O7 F5,Nb4O7F5,JVASP-42554,1.4496301632164998,2.2385345300038657,0.0682125812991109,1.9278755300038657,2.5491935300038655,0.310659,2.3270602226257324,0.4083040957204829,1.2941512226257323,3.3599692226257325,1.032909,-0.4880457095794358,False
VIRT-00012,Li5 Mo1 O5,Li5MoO5,JVASP-44828,2.775290382509283,2.0387394030888877,0.08483046556903368,1.7280804030888877,2.3493984030888875,0.310659,2.659010569254557,0.2931557943222315,1.626101569254557,3.691919569254557,1.032909,-0.5106162208582354,False
VIRT-00086,Yb2 B8 S14,YbB4S7,JVASP-52497,0.6977851711533998,2.437084754308065,0.08208399390745073,2.126425754308065,2.7477437543080647,0.310659,1.6542282899220784,0.15898350931294686,0.6213192899220783,2.6871372899220782,1.032909,-0.5147442789224499,False
VIRT-00015,Li5 Cr1 Se5,Li5CrSe5,JVASP-44828,2.775290382509283,2.857585906982422,0.19165101397242224,2.5469269069824216,3.168244906982422,0.310659,0.776689608891805,0.346602966720296,-0.256219391108195,1.8095986088918052,1.032909,-0.5687639280203948,False
VIRT-00083,Rb2 Al2 Br8,RbAlBr4,JVASP-57785,0.3947002887570081,1.9806986649831135,0.04075274056129075,1.6700396649831135,2.2913576649831136,0.310659,2.5295048554738364,0.36195180228165375,1.4965958554738363,3.5624138554738365,1.032909,-0.5823578158276032,False
VIRT-00005,Na6 V2 Se8,Na3VSe4,JVASP-42181,0.8195691849464319,2.6147663593292236,0.11580247906501069,2.3041073593292234,2.925425359329224,0.310659,0.9817312558492025,0.1918241730610022,-0.051177744150797566,2.0146402558492027,1.032909,-0.6134417130693365,False
